ingredeint_id,ingredient_name,ingredient_image_url
1550,Poppy,
1551,seeds,
1552,Mustard,
1553,oil,
1554,required,
1555,Panch,
1556,Phan,
1557,Mala,
1558,Green,
1559,Chillies,
1560,Curd,
1561,Salt,
1562,Mango,
1563,smer,
1564,variety,
1565,suits,
1566,Jaggery,
1567,powdered,
1568,sweetness,
1569,Green,
1570,Chillies,
1571,Ghee,
1572,coconut,
1573,oil,
1574,Dry,
1575,Red,
1576,Chillies,
1577,White,
1578,Urad,
1579,Dal,
1580,Mustard,
1581,seeds,
1582,Asafoetida,
1583,s,
1584,Kala,
1585,Chana,
1586,sprouted,
1587,Onion,
1588,sliced,
1589,Tomaes,
1590,fely,
1591,chopped,
1592,Gger,
1593,pte,
1594,Green,
1595,Chillies,
1596,fely,
1597,chopped,
1598,ch,
1599,Cnamon,
1600,Stick,
1601,Black,
1602,cardamom,
1603,Ciander,
1604,Powder,
1605,Red,
1606,Chilli,
1607,powder,
1608,s,
1609,Chana,
1610,Mala,
1611,Powder,
1612,Anardana,
1613,Powder,
1614,Seed,
1615,dried,
1616,Ciander,
1617,Leaves,
1618,fely,
1619,chopped,
1620,garnish,
1621,s,
1622,Ghee,
1623,Salt,
1624,To,
1625,make,
1626,pakod,
1627,Chana,
1628,dal,
1629,Gram,
1630,soaked,
1631,mutes,
1632,Dry,
1633,Red,
1634,Chillies,
1635,Fennel,
1636,seeds,
1637,Salt,
1638,Oil,
1639,fryg,
1640,pakod,
1641,To,
1642,make,
1643,gravy,
1644,Onion,
1645,fely,
1646,chopped,
1647,Toma,
1648,fely,
1649,chopped,
1650,Green,
1651,Chillies,
1652,fely,
1653,chopped,
1654,cloves,
1655,Garlic,
1656,fely,
1657,chopped,
1658,s,
1659,Ciander,
1660,Powder,
1661,Red,
1662,Chilli,
1663,powder,
1664,Cnamon,
1665,Stick,
1666,Bay,
1667,leaf,
1668,Cardamom,
1669,PodsSeeds,
1670,Fennel,
1671,seeds,
1672,Curry,
1673,leaves,
1674,s,
1675,Ciander,
1676,Leaves,
1677,fely,
1678,chopped,
1679,garnish,
1680,Oil,
1681,Salt,
1682,To,
1683,make,
1684,pte,
1685,s,
1686,Fresh,
1687,coconut,
1688,Poppy,
1689,seeds,
1690,Fennel,
1691,seeds,
1692,Chew,
1693,nuts,
1694,s,
1695,Roted,
1696,Gram,
1697,Dal,
1698,Kg,
1699,Chicken,
1700,s,
1701,Oil,
1702,Tomaes,
1703,fely,
1704,chopped,
1705,Onion,
1706,fely,
1707,chopped,
1708,Green,
1709,Chillies,
1710,chopped,
1711,Tablespoon,
1712,Gger,
1713,Garlic,
1714,Pte,
1715,Ciander,
1716,Leaves,
1717,sm,
1718,bunch,
1719,fely,
1720,chopped,
1721,Tablespoon,
1722,Curd,
1723,Tablespoon,
1724,Fresh,
1725,cream,
1726,just,
1727,give,
1728,thickness,
1729,Cup,
1730,Water,
1731,Salt,
1732,Whole,
1733,Spices:,
1734,Cloves,
1735,Whole,
1736,Black,
1737,Peppercns,
1738,Bay,
1739,leaves,
1740,ch,
1741,Cnamon,
1742,Stick,
1743,Fennel,
1744,seeds,
1745,Kuri,
1746,Methi,
1747,Fenugreek,
1748,Powdered,
1749,Spices:,
1750,Tablespoons,
1751,Khmiri,
1752,Red,
1753,Chilli,
1754,Powder,
1755,Turmeric,
1756,powder,
1757,Tablespoon,
1758,Tandoi,
1759,mala,
1760,Tablespoon,
1761,Onion,
1762,powder,
1763,Caullower,
1764,sm,
1765,flets,
1766,Potaes,
1767,medium,
1768,sized,
1769,Onion,
1770,chopped,
1771,Tomaes,
1772,chopped,
1773,Mustard,
1774,seeds,
1775,Curry,
1776,leaves,
1777,cloves,
1778,Garlic,
1779,chopped,
